sec	CH1	CH40	CH41	
1.2	0.0158691	0.0191284	0	
1.202	-0.0170898	0.0191772	0	
1.204	-0.0238037	0.0193848	0	
1.206	-0.0012207	0.0192932	0	
1.208	0.0146484	0.0193054	0	
1.21	-0.0115967	0.0192383	0	
1.212	-0.0524902	0.0194397	0	
1.214	-0.0622559	0.0199158	0	
1.216	-0.0189209	0.0200073	0	
1.218	-0.0140381	0.0198914	0	
1.22	-0.0292969	0.0198853	0	
1.222	-0.0323486	0.0199707	0	
1.224	-0.0335693	0.0202148	0	
1.226	-0.0537109	0.0206238	0	
1.228	-0.0250244	0.0207275	0	
1.23	-0.0140381	0.0207642	0	
1.232	-0.0238037	0.0209229	0	
1.234	-0.0384521	0.0212036	0	
1.236	-0.0238037	0.021283	0	
1.238	0.00427246	0.0211914	0	
1.24	-0.0305176	0.0214905	0	
1.242	-0.0384521	0.0218445	0	
1.244	-0.0372314	0.0220947	0	
1.246	-0.0341797	0.02229	0	
1.248	-0.00976562	0.02229	0	
1.25	-0.0177002	0.022229	0	
1.252	-0.0323486	0.0223083	0	
1.254	-0.0390625	0.022699	0	
1.256	-0.0415039	0.023114	0	
1.258	-0.0183105	0.0231873	0	
1.26	-0.00366211	0.022998	0	
1.262	-0.0244141	0.0231689	0	
1.264	-0.022583	0.0232971	0	
1.266	-0.00793457	0.0232605	0	
1.268	-0.00793457	0.0231567	0	
1.27	-0.022583	0.0233032	0	
1.272	-0.0335693	0.0232483	0	
1.274	-0.022583	0.0231689	0	
1.276	-0.00732422	0.0231201	0	
1.278	-0.00854492	0.0229065	0	
1.28	-0.00549316	0.0229492	0	
1.282	-0.0152588	0.0229553	0	
1.284	-0.0109863	0.0224792	0	
1.286	-0.0299072	0.0224304	0	
1.288	-0.0158691	0.0222839	0	
1.29	0.0012207	0.0220581	0	
1.292	-0.012207	0.021814	0	
1.294	-0.0213623	0.021759	0	
1.296	-0.0115967	0.0213867	0	
1.298	-0.0152588	0.0209595	0	
1.3	-0.0213623	0.0207947	0	
1.302	-0.0366211	0.0210388	0	
1.304	-0.00305176	0.0207886	0	
1.306	-0.020752	0.0209229	0	
1.308	0.010376	0.0209412	0	
1.31	-0.0109863	0.0207581	0	
1.312	-0.043335	0.020929	0	
1.314	-0.0256348	0.0211365	0	
1.316	-0.0262451	0.021344	0	
1.318	-0.0231934	0.0212646	0	
1.32	-0.0195312	0.0210083	0	
1.322	-0.0195312	0.0207275	0	
1.324	-0.0323486	0.0208313	0	
1.326	-0.0372314	0.0209045	0	
1.328	-0.0274658	0.0208313	0	
1.33	-0.0115967	0.0205322	0	
1.332	0.00549316	0.0204041	0	
1.334	-0.0134277	0.0204895	0	
1.336	-0.0268555	0.0204712	0	
1.338	-0.0238037	0.0202026	0	
1.34	0.0134277	0.0201355	0	
1.342	0.000610352	0.0199829	0	
1.344	-0.0286865	0.0200012	0	
1.346	-0.0415039	0.0201416	0	
1.348	-0.0238037	0.0202759	0	
1.35	-0.0128174	0.0203369	0	
1.352	-0.0311279	0.0205017	0	
1.354	-0.0262451	0.0207275	0	
1.356	-0.0323486	0.0209656	0	
1.358	-0.0445557	0.0212646	0	
1.36	-0.0250244	0.0214722	0	
1.362	0.000610352	0.0214478	0	
1.364	0.00732422	0.0214539	0	
1.366	-0.0183105	0.0213806	0	
1.368	-0.0262451	0.0215515	0	
1.37	-0.0183105	0.021521	0	
1.372	-0.00488281	0.0213623	0	
1.374	-0.00427246	0.0211487	0	
1.376	-0.00854492	0.0210327	0	
1.378	-0.0500488	0.0212219	0	
1.38	-0.0469971	0.0214233	0	
1.382	-0.0421143	0.0217041	0	
1.384	-0.022583	0.0217102	0	
1.386	-0.0256348	0.0217896	0	
1.388	-0.0170898	0.0219543	0	
1.39	-0.0445557	0.022168	0	
1.392	-0.0341797	0.0225037	0	
1.394	0.00366211	0.0223938	0	
1.396	0.0164795	0.0224487	0	
1.398	0.032959	0.0225342	0	
1.4	0.00427246	0.0224182	0	
1.402	-0.0372314	0.0226196	0	
1.404	-0.0299072	0.0226807	0	
1.406	0.0012207	0.0226807	0	
1.408	0.0115967	0.0226501	0	
1.41	-0.012207	0.0226562	0	
1.412	-0.0274658	0.022406	0	
1.414	-0.0286865	0.0220703	0	
